index|hira|kana|en|pos|sound|audio|image_hira|image_kana|detail_hira|detail_kana
73|きょ|キョ|kyo|Kana|Kana_kyo.mp3|db/73/audio.mp3|db/73/hira_kyo.png|db/73/kana_kyo.png|db/73/detail_hira_kyo.png|db/73/detail_kana_kyo.png
74|ぎゃ|ギャ|gya|Kana|Kana_gya.mp3|db/92/audio.mp3|db/92/hira_gya.png|db/92/kana_gya.png|db/92/detail_hira_gya.png|db/92/detail_kana_gya.png
75|ぎゅ|ギュ|gyu|Kana|Kana_gyu.mp3|db/93/audio.mp3|db/93/hira_gyu.png|db/93/kana_gyu.png|db/93/detail_hira_gyu.png|db/93/detail_kana_gyu.png
76|ぎょ|ギョ|gyo|Kana|Kana_gyo.mp3|db/94/audio.mp3|db/94/hira_gyo.png|db/94/kana_gyo.png|db/94/detail_hira_gyo.png|db/94/detail_kana_gyo.png
77|しゃ|シャ|sha|Kana|Kana_sha.mp3|db/74/audio.mp3|db/74/hira_sha.png|db/74/kana_sha.png|db/74/detail_hira_sha.png|db/74/detail_kana_sha.png
78|しゅ|シュ|shu|Kana|Kana_shu.mp3|db/75/audio.mp3|db/75/hira_shu.png|db/75/kana_shu.png|db/75/detail_hira_shu.png|db/75/detail_kana_shu.png
79|しょ|ショ|sho|Kana|Kana_sho.mp3|db/76/audio.mp3|db/76/hira_sho.png|db/76/kana_sho.png|db/76/detail_hira_sho.png|db/76/detail_kana_sho.png
80|じゃ|ジャ|ja|Kana|Kana_ja.mp3|db/95/audio.mp3|db/95/hira_ja.png|db/95/kana_ja.png|db/95/detail_hira_ja.png|db/95/detail_kana_ja.png
81|じゅ|ジュ|ju|Kana|Kana_ju.mp3|db/96/audio.mp3|db/96/hira_ju.png|db/96/kana_ju.png|db/96/detail_hira_ju.png|db/96/detail_kana_ju.png
82|じょ|ジョ|jo|Kana|Kana_jo.mp3|db/97/audio.mp3|db/97/hira_jo.png|db/97/kana_jo.png|db/97/detail_hira_jo.png|db/97/detail_kana_jo.png
83|ちゃ|チャ|cha|Kana|Kana_cha.mp3|db/77/audio.mp3|db/77/hira_cha.png|db/77/kana_cha.png|db/77/detail_hira_cha.png|db/77/detail_kana_cha.png
84|ちゅ|チュ|chu|Kana|Kana_chu.mp3|db/78/audio.mp3|db/78/hira_chu.png|db/78/kana_chu.png|db/78/detail_hira_chu.png|db/78/detail_kana_chu.png
85|ちょ|チョ|cho|Kana|Kana_cho.mp3|db/79/audio.mp3|db/79/hira_cho.png|db/79/kana_cho.png|db/79/detail_hira_cho.png|db/79/detail_kana_cho.png
86|にゃ|ニャ|nya|Kana|Kana_nya.mp3|db/80/audio.mp3|db/80/hira_nya.png|db/80/kana_nya.png|db/80/detail_hira_nya.png|db/80/detail_kana_nya.png
87|にゅ|ニュ|nyu|Kana|Kana_nyu.mp3|db/81/audio.mp3|db/81/hira_nyu.png|db/81/kana_nyu.png|db/81/detail_hira_nyu.png|db/81/detail_kana_nyu.png
88|にょ|ニョ|nyo|Kana|Kana_nyo.mp3|db/82/audio.mp3|db/82/hira_nyo.png|db/82/kana_nyo.png|db/82/detail_hira_nyo.png|db/82/detail_kana_nyo.png
89|ひゃ|ヒャ|hya|Kana|Kana_hya.mp3|db/83/audio.mp3|db/83/hira_hya.png|db/83/kana_hya.png|db/83/detail_hira_hya.png|db/83/detail_kana_hya.png
90|ひゅ|ヒュ|hyu|Kana|Kana_hyu.mp3|db/84/audio.mp3|db/84/hira_hyu.png|db/84/kana_hyu.png|db/84/detail_hira_hyu.png|db/84/detail_kana_hyu.png
91|ひょ|ヒョ|hyo|Kana|Kana_hyo.mp3|db/85/audio.mp3|db/85/hira_hyo.png|db/85/kana_hyo.png|db/85/detail_hira_hyo.png|db/85/detail_kana_hyo.png
92|びゃ|ビャ|bya|Kana|Kana_bya.mp3|db/98/audio.mp3|db/98/hira_bya.png|db/98/kana_bya.png|db/98/detail_hira_bya.png|db/98/detail_kana_bya.png
93|びゅ|ビュ|byu|Kana|Kana_byu.mp3|db/99/audio.mp3|db/99/hira_byu.png|db/99/kana_byu.png|db/99/detail_hira_byu.png|db/99/detail_kana_byu.png
94|びょ|ビョ|byo|Kana|Kana_byo.mp3|db/100/audio.mp3|db/100/hira_byo.png|db/100/kana_byo.png|db/100/detail_hira_byo.png|db/100/detail_kana_byo.png
95|ぴゃ|ピャ|pya|Kana|Kana_pya.mp3|db/101/audio.mp3|db/101/hira_pya.png|db/101/kana_pya.png|db/101/detail_hira_pya.png|db/101/detail_kana_pya.png
96|ぴゅ|ピュ|pyu|Kana|Kana_pyu.mp3|db/102/audio.mp3|db/102/hira_pyu.png|db/102/kana_pyu.png|db/102/detail_hira_pyu.png|db/102/detail_kana_pyu.png
97|ぴょ|ピョ|pyo|Kana|Kana_pyo.mp3|db/103/audio.mp3|db/103/hira_pyo.png|db/103/kana_pyo.png|db/103/detail_hira_pyo.png|db/103/detail_kana_pyo.png
98|みゃ|ミャ|mya|Kana|Kana_mya.mp3|db/86/audio.mp3|db/86/hira_mya.png|db/86/kana_mya.png|db/86/detail_hira_mya.png|db/86/detail_kana_mya.png
99|みゅ|ミュ|myu|Kana|Kana_myu.mp3|db/87/audio.mp3|db/87/hira_myu.png|db/87/kana_myu.png|db/87/detail_hira_myu.png|db/87/detail_kana_myu.png
100|みょ|ミョ|myo|Kana|Kana_myo.mp3|db/88/audio.mp3|db/88/hira_myo.png|db/88/kana_myo.png|db/88/detail_hira_myo.png|db/88/detail_kana_myo.png
101|りゃ|リャ|rya|Kana|Kana_rya.mp3|db/89/audio.mp3|db/89/hira_rya.png|db/89/kana_rya.png|db/89/detail_hira_rya.png|db/89/detail_kana_rya.png
102|りゅ|リュ|ryu|Kana|Kana_ryu.mp3|db/90/audio.mp3|db/90/hira_ryu.png|db/90/kana_ryu.png|db/90/detail_hira_ryu.png|db/90/detail_kana_ryu.png
103|りょ|リョ|ryo|Kana|Kana_ryo.mp3|db/91/audio.mp3|db/91/hira_ryo.png|db/91/kana_ryo.png|db/91/detail_hira_ryo.png|db/91/detail_kana_ryo.png
